ID,英語名,タイプ（日本語）,特性（日本語）,重さ,HP,攻撃,防御,特攻,特防,素早さ,覚える技一覧（日本語）,画像URL
1,bulbasaur,"くさ, どく","しんりょく, ようりょくそ",69,45,49,49,65,65,45,"かまいたち, つるぎのまい, いあいぎり, しめつける, つるのムチ, ずつき, たいあたり, のしかかり, とっしん, すてみタックル, なきごえ, かいりき, メガドレイン, やどりぎのタネ, せいちょう, はっぱカッター, ソーラービーム, どくのこな, ねむりごな, はなびらのまい, いとをはく, どくどく, いかり, ものまね, かげぶんしん, まるくなる, ひかりのかべ, リフレクター, がまん, ヘドロこうげき, ロケットずつき, ドわすれ, フラッシュ, ねむる, みがわり, いびき, のろい, まもる, ヘドロばくだん, どろかけ, げきりん, ギガドレイン, こらえる, あまえる, みねうち, いばる, れんぞくぎり, メロメロ, ねごと, おんがえし, やつあたり, しんぴのまもり, あまいかおり, こうごうせい, めざめるパワー, にほんばれ, いわくだき, からげんき, しぜんのちから, てだすけ, ねをはる, はたきおとす, ひみつのちから, ウェザーボール, くさぶえ, タネマシンガン, マジカルリーフ, しぜんのめぐみ, なやみのタネ, タネばくだん, エナジーボール, リーフストーム, パワーウィップ, ゆうわく, くさむすび, ベノムショック, アシッドボム, りんしょう, エコーボイス, くさのちかい, ふるいたてる, グラスフィールド, ないしょばなし, グラススライダー, テラバースト, くさわけ",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/1.png
2,ivysaur,"くさ, どく","しんりょく, ようりょくそ",130,60,62,63,80,80,60,"つるぎのまい, いあいぎり, しめつける, つるのムチ, ずつき, たいあたり, のしかかり, とっしん, すてみタックル, なきごえ, ほえる, かいりき, メガドレイン, やどりぎのタネ, せいちょう, はっぱカッター, ソーラービーム, どくのこな, ねむりごな, はなびらのまい, いとをはく, どくどく, いかり, ものまね, かげぶんしん, まるくなる, ひかりのかべ, リフレクター, がまん, ドわすれ, フラッシュ, ねむる, みがわり, いびき, のろい, まもる, ヘドロばくだん, どろかけ, げきりん, ギガドレイン, こらえる, あまえる, みねうち, いばる, れんぞくぎり, メロメロ, ねごと, おんがえし, やつあたり, しんぴのまもり, あまいかおり, こうごうせい, めざめるパワー, にほんばれ, いわくだき, からげんき, しぜんのちから, てだすけ, ねをはる, はたきおとす, ひみつのちから, ウェザーボール, タネマシンガン, マジカルリーフ, しぜんのめぐみ, なやみのタネ, タネばくだん, エナジーボール, リーフストーム, パワーウィップ, ゆうわく, くさむすび, ベノムショック, アシッドボム, りんしょう, エコーボイス, くさのちかい, ふるいたてる, グラスフィールド, ないしょばなし, グラススライダー, テラバースト, くさわけ",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/2.png
3,venusaur,"くさ, どく","しんりょく, ようりょくそ",1000,80,82,83,100,100,80,"つるぎのまい, いあいぎり, しめつける, つるのムチ, ずつき, たいあたり, のしかかり, とっしん, すてみタックル, なきごえ, ほえる, はかいこうせん, かいりき, メガドレイン, やどりぎのタネ, せいちょう, はっぱカッター, ソーラービーム, どくのこな, ねむりごな, はなびらのまい, いとをはく, じしん, どくどく, いかり, ものまね, かげぶんしん, まるくなる, ひかりのかべ, リフレクター, がまん, ドわすれ, フラッシュ, ねむる, みがわり, いびき, のろい, まもる, こわいかお, ヘドロばくだん, どろかけ, げきりん, ギガドレイン, こらえる, あまえる, みねうち, いばる, れんぞくぎり, メロメロ, ねごと, おんがえし, やつあたり, しんぴのまもり, あまいかおり, こうごうせい, めざめるパワー, にほんばれ, いわくだき, からげんき, しぜんのちから, てだすけ, ねをはる, はたきおとす, ひみつのちから, ウェザーボール, タネマシンガン, とおせんぼう, ハードプラント, マジカルリーフ, しぜんのめぐみ, なやみのタネ, どくづき, タネばくだん, エナジーボール, だいちのちから, ギガインパクト, ロッククライム, リーフストーム, パワーウィップ, ゆうわく, くさむすび, ベノムショック, アシッドボム, りんしょう, エコーボイス, くさのちかい, じならし, ふるいたてる, はなふぶき, グラスフィールド, ないしょばなし, じだんだ, グラススライダー, だいちのはどう, テラバースト, くさわけ",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/3.png
4,charmander,ほのお,"もうか, サンパワー",85,39,52,43,60,50,65,"メガトンパンチ, ほのおのパンチ, かみなりパンチ, ひっかく, つるぎのまい, いあいぎり, つばさでうつ, メガトンキック, ずつき, のしかかり, とっしん, すてみタックル, にらみつける, かみつく, なきごえ, ほえる, ひのこ, かえんほうしゃ, じごくぐるま, カウンター, ちきゅうなげ, かいりき, りゅうのいかり, ほのおのうず, あなをほる, どくどく, いかり, ものまね, かげぶんしん, えんまく, まるくなる, リフレクター, がまん, だいもんじ, スピードスター, ロケットずつき, みだれひっかき, ねむる, いわなだれ, きりさく, みがわり, いびき, のろい, まもる, こわいかお, はらだいこ, どろかけ, げきりん, こらえる, みねうち, いばる, れんぞくぎり, メロメロ, ねごと, おんがえし, やつあたり, ばくれつパンチ, りゅうのいぶき, アイアンテール, メタルクロー, めざめるパワー, にほんばれ, かみくだく, げんしのちから, いわくだき, ふくろだたき, ねっぷう, おにび, からげんき, きあいパンチ, てだすけ, かわらわり, ひみつのちから, ウェザーボール, エアカッター, オーバーヒート, がんせきふうじ, つばめがえし, ドラゴンクロー, りゅうのまい, しぜんのめぐみ, なげつける, フレアドライブ, りゅうのはどう, ドラゴンダイブ, きあいだま, シャドークロー, ほのおのキバ, ゆうわく, つめとぎ, はじけるほのお, ニトロチャージ, りんしょう, エコーボイス, やきつくす, アクロバット, れんごく, ほのおのちかい, ドラゴンテール, ふるいたてる, ないしょばなし, グロウパンチ, ワイドブレイカー, テラバースト, やけっぱち",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/4.png
5,charmeleon,ほのお,"もうか, サンパワー",190,58,64,58,80,65,80,"メガトンパンチ, ほのおのパンチ, かみなりパンチ, ひっかく, つるぎのまい, いあいぎり, メガトンキック, ずつき, のしかかり, とっしん, すてみタックル, にらみつける, かみつく, なきごえ, ほえる, ひのこ, かえんほうしゃ, じごくぐるま, カウンター, ちきゅうなげ, かいりき, りゅうのいかり, ほのおのうず, あなをほる, どくどく, いかり, ものまね, かげぶんしん, えんまく, まるくなる, リフレクター, がまん, だいもんじ, スピードスター, ロケットずつき, みだれひっかき, ねむる, いわなだれ, きりさく, みがわり, いびき, のろい, まもる, こわいかお, はらだいこ, どろかけ, げきりん, こらえる, みねうち, いばる, れんぞくぎり, メロメロ, ねごと, おんがえし, やつあたり, ばくれつパンチ, りゅうのいぶき, アイアンテール, メタルクロー, めざめるパワー, にほんばれ, かみくだく, げんしのちから, いわくだき, ふくろだたき, ねっぷう, おにび, からげんき, きあいパンチ, てだすけ, かわらわり, ひみつのちから, ウェザーボール, オーバーヒート, がんせきふうじ, つばめがえし, ドラゴンクロー, りゅうのまい, しぜんのめぐみ, なげつける, フレアドライブ, りゅうのはどう, ドラゴンダイブ, きあいだま, シャドークロー, ほのおのキバ, ゆうわく, つめとぎ, はじけるほのお, ニトロチャージ, りんしょう, エコーボイス, やきつくす, アクロバット, れんごく, ほのおのちかい, ドラゴンテール, ふるいたてる, ないしょばなし, グロウパンチ, ワイドブレイカー, テラバースト, やけっぱち",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/5.png
6,charizard,"ほのお, ひこう","もうか, サンパワー",905,78,84,78,109,85,100,"メガトンパンチ, ほのおのパンチ, かみなりパンチ, ひっかく, つるぎのまい, いあいぎり, つばさでうつ, そらをとぶ, メガトンキック, ずつき, のしかかり, とっしん, すてみタックル, にらみつける, かみつく, なきごえ, ほえる, ひのこ, かえんほうしゃ, はかいこうせん, じごくぐるま, カウンター, ちきゅうなげ, かいりき, ソーラービーム, りゅうのいかり, ほのおのうず, じしん, じわれ, あなをほる, どくどく, いかり, ものまね, かげぶんしん, えんまく, まるくなる, リフレクター, がまん, だいもんじ, スピードスター, ロケットずつき, みだれひっかき, ねむる, いわなだれ, きりさく, みがわり, いびき, のろい, まもる, こわいかお, はらだいこ, どろかけ, げきりん, すなあらし, こらえる, みねうち, いばる, れんぞくぎり, はがねのつばさ, メロメロ, ねごと, おんがえし, やつあたり, ばくれつパンチ, りゅうのいぶき, アイアンテール, メタルクロー, めざめるパワー, たつまき, にほんばれ, かみくだく, げんしのちから, いわくだき, ふくろだたき, ねっぷう, おにび, からげんき, きあいパンチ, てだすけ, かわらわり, ひみつのちから, ブレイズキック, ブラストバーン, ウェザーボール, エアカッター, オーバーヒート, がんせきふうじ, つばめがえし, ドラゴンクロー, りゅうのまい, はねやすめ, しぜんのめぐみ, おいかぜ, なげつける, フレアドライブ, エアスラッシュ, りゅうのはどう, ドラゴンダイブ, きあいだま, ギガインパクト, シャドークロー, ほのおのキバ, きりばらい, ゆうわく, あやしいかぜ, つめとぎ, はじけるほのお, ニトロチャージ, りんしょう, エコーボイス, フリーフォール, やきつくす, アクロバット, れんごく, ほのおのちかい, じならし, ドラゴンテール, ふるいたてる, ヒートスタンプ, ぼうふう, ないしょばなし, マジカルフレイム, グロウパンチ, ぶんまわす, ワイドブレイカー, スケイルショット, ダブルウイング, ねっさのだいち, テラバースト, ドラゴンエール, やけっぱち",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/6.png
7,squirtle,みず,"げきりゅう, あめうけざら",90,44,48,65,50,64,43,"メガトンパンチ, れいとうパンチ, メガトンキック, ずつき, たいあたり, のしかかり, とっしん, すてみタックル, しっぽをふる, かみつく, しろいきり, みずでっぽう, ハイドロポンプ, なみのり, れいとうビーム, ふぶき, バブルこうせん, じごくぐるま, カウンター, ちきゅうなげ, かいりき, あなをほる, どくどく, ねんりき, いかり, ものまね, かげぶんしん, からにこもる, まるくなる, くろいきり, リフレクター, がまん, たきのぼり, ロケットずつき, あわ, ねむる, いわなだれ, みがわり, いびき, のろい, じたばた, まもる, どろかけ, みやぶる, こごえるかぜ, げきりん, こらえる, ころがる, みねうち, いばる, メロメロ, ねごと, おんがえし, やつあたり, ばくれつパンチ, こうそくスピン, アイアンテール, めざめるパワー, あまごい, ミラーコート, いわくだき, うずしお, ねこだまし, あられ, からげんき, きあいパンチ, このゆびとまれ, てだすけ, かわらわり, あくび, リフレッシュ, ひみつのちから, ダイビング, どろあそび, ウェザーボール, がんせきふうじ, しおふき, だくりゅう, てっぺき, マッドショット, みずのはどう, ジャイロボール, しおみず, しぜんのめぐみ, なげつける, アクアリング, はどうだん, アクアテール, りゅうのはどう, しねんのずつき, ゆうわく, アクアジェット, りんしょう, ねっとう, からをやぶる, みずのちかい, ふるいたてる, ないしょばなし, グロウパンチ, アクアブレイク, いのちのしずく, クイックターン, ウェーブタックル, テラバースト, アイススピナー, ひやみず",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/7.png
8,wartortle,みず,"げきりゅう, あめうけざら",225,59,63,80,65,80,58,"メガトンパンチ, れいとうパンチ, メガトンキック, ずつき, たいあたり, のしかかり, とっしん, すてみタックル, しっぽをふる, かみつく, しろいきり, みずでっぽう, ハイドロポンプ, なみのり, れいとうビーム, ふぶき, バブルこうせん, じごくぐるま, カウンター, ちきゅうなげ, かいりき, あなをほる, どくどく, いかり, ものまね, かげぶんしん, からにこもる, まるくなる, くろいきり, リフレクター, がまん, たきのぼり, ロケットずつき, あわ, ねむる, いわなだれ, みがわり, いびき, のろい, じたばた, まもる, どろかけ, こごえるかぜ, げきりん, こらえる, ころがる, みねうち, いばる, メロメロ, ねごと, おんがえし, やつあたり, ばくれつパンチ, こうそくスピン, アイアンテール, めざめるパワー, あまごい, ミラーコート, いわくだき, うずしお, ねこだまし, あられ, からげんき, きあいパンチ, てだすけ, かわらわり, あくび, ひみつのちから, ダイビング, ウェザーボール, がんせきふうじ, しおふき, だくりゅう, てっぺき, マッドショット, みずのはどう, ジャイロボール, しおみず, しぜんのめぐみ, なげつける, アクアリング, はどうだん, アクアテール, りゅうのはどう, しねんのずつき, ゆうわく, アクアジェット, りんしょう, ねっとう, からをやぶる, みずのちかい, ふるいたてる, ないしょばなし, グロウパンチ, アクアブレイク, いのちのしずく, クイックターン, ウェーブタックル, テラバースト, アイススピナー, ひやみず",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/8.png
9,blastoise,みず,"げきりゅう, あめうけざら",855,79,83,100,85,105,78,"メガトンパンチ, れいとうパンチ, メガトンキック, ずつき, たいあたり, のしかかり, とっしん, すてみタックル, しっぽをふる, かみつく, ほえる, しろいきり, みずでっぽう, ハイドロポンプ, なみのり, れいとうビーム, ふぶき, バブルこうせん, はかいこうせん, じごくぐるま, カウンター, ちきゅうなげ, かいりき, じしん, じわれ, あなをほる, どくどく, いかり, ものまね, かげぶんしん, からにこもる, まるくなる, くろいきり, リフレクター, がまん, たきのぼり, ロケットずつき, あわ, ねむる, いわなだれ, みがわり, いびき, のろい, じたばた, まもる, こわいかお, どろかけ, こごえるかぜ, げきりん, こらえる, ころがる, みねうち, いばる, メロメロ, ねごと, おんがえし, やつあたり, ばくれつパンチ, こうそくスピン, アイアンテール, めざめるパワー, あまごい, かみくだく, ミラーコート, いわくだき, うずしお, ねこだまし, あられ, からげんき, きあいパンチ, てだすけ, かわらわり, あくび, ひみつのちから, ダイビング, ハイドロカノン, ウェザーボール, がんせきふうじ, しおふき, シグナルビーム, だくりゅう, てっぺき, マッドショット, みずのはどう, ジャイロボール, しおみず, しぜんのめぐみ, なげつける, アクアリング, はどうだん, あくのはどう, アクアテール, りゅうのはどう, きあいだま, ギガインパクト, ゆきなだれ, しねんのずつき, ラスターカノン, ロッククライム, ゆうわく, アクアジェット, うちおとす, りんしょう, ねっとう, からをやぶる, みずのちかい, じならし, ドラゴンテール, ふるいたてる, ないしょばなし, グロウパンチ, アクアブレイク, ボディプレス, いのちのしずく, だいちのはどう, クイックターン, ウェーブタックル, テラバースト, アイススピナー, ひやみず",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/9.png
10,caterpie,むし,"りんぷん, にげあし",29,45,30,35,20,20,45,"たいあたり, いとをはく, いびき, むしくい, エレキネット",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10.png
